,state,date,ML,Low_90,High_90,Low_50,High_50,state_ab
0,Andhra Pradesh,2020-03-18,3.0,1.01,6.99,2.04,4.45,AP
1,Andhra Pradesh,2020-03-19,2.88,0.99,6.28,1.99,4.16,AP
2,Andhra Pradesh,2020-03-20,2.7800000000000002,0.9400000000000001,5.8100000000000005,2.0,4.0200000000000005,AP
3,Andhra Pradesh,2020-03-21,2.7,0.97,5.5600000000000005,1.87,3.77,AP
4,Andhra Pradesh,2020-03-22,2.63,0.93,5.3,1.9100000000000001,3.73,AP
5,Andhra Pradesh,2020-03-23,2.57,0.89,5.09,1.86,3.61,AP
6,Andhra Pradesh,2020-03-24,2.77,0.98,5.24,2.0,3.7800000000000002,AP
7,Andhra Pradesh,2020-03-25,2.64,0.93,4.91,1.87,3.5300000000000002,AP
8,Andhra Pradesh,2020-03-26,2.5300000000000002,0.93,4.71,1.8900000000000001,3.47,AP
9,Andhra Pradesh,2020-03-27,2.63,0.98,4.7,2.0100000000000002,3.5700000000000003,AP
10,Andhra Pradesh,2020-03-28,3.48,1.6400000000000001,5.48,2.79,4.4,AP
11,Andhra Pradesh,2020-03-29,3.74,2.05,5.45,3.06,4.47,AP
12,Andhra Pradesh,2020-03-30,3.48,2.06,4.95,2.97,4.17,AP
13,Andhra Pradesh,2020-03-31,3.3000000000000003,2.07,4.57,2.82,3.85,AP
14,Andhra Pradesh,2020-04-01,3.14,2.06,4.25,2.72,3.62,AP
15,Andhra Pradesh,2020-04-02,2.89,1.92,3.86,2.5300000000000002,3.33,AP
16,Andhra Pradesh,2020-04-03,2.5500000000000003,1.68,3.44,2.2600000000000002,2.99,AP
17,Andhra Pradesh,2020-04-04,2.32,1.53,3.17,1.99,2.66,AP
18,Andhra Pradesh,2020-04-05,2.05,1.3,2.85,1.79,2.43,AP
19,Andhra Pradesh,2020-04-06,1.76,1.01,2.5,1.52,2.14,AP
20,Andhra Pradesh,2020-04-07,1.6,0.9,2.37,1.31,1.9100000000000001,AP
21,Andhra Pradesh,2020-04-08,1.47,0.76,2.21,1.23,1.83,AP
22,Andhra Pradesh,2020-04-09,1.34,0.64,2.09,1.1,1.7,AP
23,Andhra Pradesh,2020-04-10,1.25,0.53,1.98,1.0,1.6,AP
24,Andhra Pradesh,2020-04-11,1.22,0.5,1.96,0.9500000000000001,1.55,AP
25,Andhra Pradesh,2020-04-12,1.23,0.52,1.99,0.99,1.6,AP
26,Andhra Pradesh,2020-04-13,1.23,0.51,1.98,0.99,1.6,AP
27,Andhra Pradesh,2020-04-14,1.27,0.55,2.02,1.03,1.6400000000000001,AP
28,Andhra Pradesh,2020-04-15,1.32,0.6,2.06,1.06,1.6600000000000001,AP
29,Andhra Pradesh,2020-04-16,1.3900000000000001,0.68,2.12,1.11,1.7,AP
30,Andhra Pradesh,2020-04-17,1.42,0.74,2.16,1.1500000000000001,1.73,AP
31,Andhra Pradesh,2020-04-18,1.44,0.76,2.15,1.18,1.75,AP
32,Andhra Pradesh,2020-04-19,1.49,0.8300000000000001,2.19,1.26,1.82,AP
33,Andhra Pradesh,2020-04-20,1.51,0.88,2.21,1.29,1.84,AP
34,Andhra Pradesh,2020-04-21,1.54,0.9,2.19,1.3,1.83,AP
35,Andhra Pradesh,2020-04-22,1.55,0.9500000000000001,2.21,1.34,1.86,AP
36,Andhra Pradesh,2020-04-23,1.53,0.9500000000000001,2.18,1.34,1.85,AP
37,Andhra Pradesh,2020-04-24,1.52,0.9400000000000001,2.14,1.29,1.78,AP
38,Andhra Pradesh,2020-04-25,1.46,0.88,2.05,1.24,1.72,AP
39,Andhra Pradesh,2020-04-26,1.45,0.89,2.04,1.27,1.75,AP
40,Andhra Pradesh,2020-04-27,1.37,0.8,1.93,1.18,1.6500000000000001,AP
41,Andhra Pradesh,2020-04-28,1.28,0.73,1.85,1.07,1.53,AP
42,Andhra Pradesh,2020-04-29,1.22,0.68,1.8,1.02,1.48,AP
43,Andhra Pradesh,2020-04-30,1.17,0.63,1.75,0.97,1.43,AP
44,Andhra Pradesh,2020-05-01,1.1,0.5700000000000001,1.69,0.91,1.37,AP
45,Andhra Pradesh,2020-05-02,1.04,0.49,1.61,0.8300000000000001,1.29,AP
46,Andhra Pradesh,2020-05-03,1.02,0.47000000000000003,1.6,0.84,1.31,AP
47,Andhra Pradesh,2020-05-04,1.0,0.45,1.59,0.81,1.28,AP
48,Andhra Pradesh,2020-05-05,1.0,0.43,1.57,0.79,1.26,AP
49,Andhra Pradesh,2020-05-06,1.0,0.45,1.6,0.78,1.25,AP
50,Assam,2020-04-26,3.0,1.01,6.99,2.04,4.45,AS
51,Assam,2020-04-27,2.88,0.99,6.28,1.99,4.16,AS
52,Assam,2020-04-28,2.7800000000000002,0.9400000000000001,5.8100000000000005,2.0,4.0200000000000005,AS
53,Assam,2020-04-29,2.7,0.97,5.5600000000000005,1.87,3.77,AS
54,Assam,2020-04-30,2.63,0.93,5.3,1.9100000000000001,3.73,AS
55,Assam,2020-05-01,2.57,0.89,5.09,1.86,3.61,AS
56,Assam,2020-05-02,2.52,0.89,4.96,1.79,3.48,AS
57,Assam,2020-05-03,2.47,0.87,4.83,1.82,3.47,AS
58,Assam,2020-05-04,2.42,0.81,4.67,1.79,3.4,AS
59,Assam,2020-05-05,2.38,0.78,4.5600000000000005,1.7,3.27,AS
60,Assam,2020-05-06,2.35,0.72,4.43,1.6600000000000001,3.2,AS
61,Bihar,2020-03-22,3.0,1.01,6.99,2.04,4.45,BR
62,Bihar,2020-03-23,2.88,0.99,6.28,1.99,4.16,BR
63,Bihar,2020-03-24,2.7800000000000002,0.9400000000000001,5.8100000000000005,2.0,4.0200000000000005,BR
64,Bihar,2020-03-25,3.02,1.08,5.99,2.15,4.2,BR
65,Bihar,2020-03-26,2.83,1.03,5.43,2.02,3.86,BR
66,Bihar,2020-03-27,2.68,0.99,5.0600000000000005,2.0100000000000002,3.72,BR
67,Bihar,2020-03-28,2.57,0.97,4.8100000000000005,1.93,3.54,BR
68,Bihar,2020-03-29,2.68,1.06,4.84,1.99,3.5700000000000003,BR
69,Bihar,2020-03-30,2.5300000000000002,0.99,4.53,1.9100000000000001,3.39,BR
70,Bihar,2020-03-31,2.41,0.92,4.28,1.8,3.2,BR
71,Bihar,2020-04-01,2.31,0.85,4.07,1.72,3.06,BR
72,Bihar,2020-04-02,2.23,0.84,3.96,1.71,3.0100000000000002,BR
73,Bihar,2020-04-03,2.04,0.66,3.64,1.51,2.75,BR
74,Bihar,2020-04-04,2.0,0.65,3.6,1.41,2.63,BR
75,Bihar,2020-04-05,2.08,0.72,3.68,1.57,2.8000000000000003,BR
76,Bihar,2020-04-06,2.15,0.77,3.7,1.58,2.79,BR
77,Bihar,2020-04-07,2.07,0.74,3.59,1.57,2.75,BR
